PMID,Journal,publisher_guess,year,doi,doi_url
32292800,Technology,Unknown,2019,10.1142/S2339547819500067,https://www.worldscientific.com/doi/10.1142/S2339547819500067
24809064,Technology,Unknown,2013,10.1142/S2339547813500040,https://www.worldscientific.com/doi/10.1142/S2339547813500040
25484480,Int J Wavelets Multiresolut Inf Process,Unknown,2012,10.1142/S0219691312500403,https://www.worldscientific.com/doi/abs/10.1142/S0219691312500403
24808625,Int J Artif Intell Tools,Unknown,2013,10.1142/S0218213013600063,https://www.worldscientific.com/doi/abs/10.1142/S0218213013600063
20161188,Int J Artif Intell Tools,Unknown,2009,10.1142/S0218213009000214,https://www.worldscientific.com/doi/abs/10.1142/S0218213009000214
30853740,Int J Comput Geom Appl,Unknown,2018,10.1142/s0218195918500012,https://www.worldscientific.com/doi/abs/10.1142/S0218195918500012
37868702,J Porphyr Phthalocyanines,Unknown,2023,10.1142/s1088424623500700,https://www.worldscientific.com/doi/10.1142/S1088424623500700
21165169,J Porphyr Phthalocyanines,Unknown,2010,10.1142/S1088424610002513,https://www.worldscientific.com/doi/abs/10.1142/S1088424610002513
38550850,J Innov Opt Health Sci,Unknown,2023,10.1142/s1793545823300070,https://www.worldscientific.com/doi/10.1142/S1793545823300070
23745147,J Innov Opt Health Sci,Unknown,2013,10.1142/S1793545813500119,https://www.worldscientific.com/doi/abs/10.1142/S1793545813500119
25541585,Int J Semant Comput,Unknown,2014,10.1142/S1793351X14500032,https://www.worldscientific.com/doi/abs/10.1142/S1793351X14500032
20209073,Int J Semant Comput,Unknown,2008,10.1142/S1793351X08000324,https://www.worldscientific.com/doi/abs/10.1142/S1793351X08000324
20651950,Nano,Unknown,2009,10.1142/S1793292009001447,https://www.worldscientific.com/doi/abs/10.1142/S1793292009001447
19890457,Nano,Unknown,2008,10.1142/S1793292008000836,https://www.worldscientific.com/doi/abs/10.1142/S1793292008000836
38909317,Int J Neural Syst,Unknown,2024,10.1142/S0129065724500485,https://www.worldscientific.com/doi/10.1142/S0129065724500485
38755115,Int J Neural Syst,Unknown,2024,10.1142/S0129065724500382,https://www.worldscientific.com/doi/10.1142/S0129065724500382
383396,Comp Med East West,Unknown,1979,10.1142/s0147291778000307,https://www.worldscientific.com/doi/abs/10.1142/S0147291778000307
383394,Comp Med East West,Unknown,1979,10.1142/s0147291778000289,https://www.worldscientific.com/doi/abs/10.1142/S0147291778000289
34267412,Intern J Pattern Recognit Artif Intell,Unknown,2020,10.1142/s0218001420500330,https://www.worldscientific.com/doi/abs/10.1142/S0218001420500330
38200116,Pac Symp Biocomput,Unknown,2023,10.1142/9789811270611_0053,https://www.worldscientific.com/doi/10.1142/9789811270611_0053
32831529,Biomed Eng (Singapore),Unknown,2020,10.4015/s1016237220500167,https://www.worldscientific.com/doi/abs/10.4015/S1016237220500167
30820136,Biomed Eng (Singapore),Unknown,2017,10.4015/S1016237217500284,https://www.worldscientific.com/doi/abs/10.4015/S1016237217500284
25544881,Q J Finance,Unknown,2012,10.1142/S2010139212500206,https://www.worldscientific.com/doi/abs/10.1142/S2010139212500206
25558118,Parallel Process Lett,Unknown,2014,10.1142/S0129626414400040,https://www.worldscientific.com/doi/abs/10.1142/S0129626414400040
25599094,Quantum Bioinform V (2011),Unknown,2013,10.1142/9789814460026_0032,https://www.worldscientific.com/doi/abs/10.1142/9789814460026_0032
25599093,Quantum Bioinform IV (2010),Unknown,2011,10.1142/9789814343763_0032,https://www.worldscientific.com/doi/abs/10.1142/9789814343763_0032
25598972,Int J Comput Mater Sci Eng,Unknown,2014,10.1142/S2047684114500031,https://www.worldscientific.com/doi/abs/10.1142/S2047684114500031
31819298,Asian Dev Rev,Unknown,2017,10.1162/adev_a_00094,https://www.worldscientific.com/doi/10.1162/adev_a_00094
26388019,Hand Surg,Unknown,2015,10.1142/S021881041520004X,https://www.worldscientific.com/doi/abs/10.1142/S021881041520004X
26388017,Hand Surg,Unknown,2015,10.1142/S0218810415720260,https://www.worldscientific.com/doi/abs/10.1142/S0218810415720260
33033500,Biophys Rev Lett,Unknown,2020,10.1142/s1793048020500034,https://www.worldscientific.com/doi/abs/10.1142/S1793048020500034
20640192,Biophys Rev Lett,Unknown,2007,10.1142/S1793048007000490,https://www.worldscientific.com/doi/abs/10.1142/S1793048007000490
33208985,J Theor Comput Chem,Unknown,2020,10.1142/s0219633620400039,https://www.worldscientific.com/doi/abs/10.1142/S0219633620400039
25552783,J Theor Comput Chem,Unknown,2013,10.1142/S0219633613410149,https://www.worldscientific.com/doi/abs/10.1142/S0219633613410149
38903851,Mod Phys Lett B,Unknown,2018,10.1142/S0217984918300016,https://www.worldscientific.com/doi/abs/10.1142/S0217984918300016
24293780,Mod Phys Lett B,Unknown,2013,10.1142/S021798491350187X,https://www.worldscientific.com/doi/abs/10.1142/S021798491350187X
28970863,Discrete Math Algorithms Appl,Unknown,2017,10.1142/S1793830917500422,https://www.worldscientific.com/doi/abs/10.1142/S1793830917500422
25473139,Int J Mod Phys C,Unknown,2006,10.1142/S0129183106008959,https://www.worldscientific.com/doi/abs/10.1142/S0129183106008959
20953299,Int J Comput Intell Appl,Unknown,2010,10.1142/S1469026810002744,https://www.worldscientific.com/doi/abs/10.1142/S1469026810002744
32948099,Singapore Dent J,Unknown,2019,10.1142/S2214607519720039,https://www.worldscientific.com/doi/abs/10.1142/S2214607519720039
20862267,Int J HR,Unknown,2009,10.1142/S0219843609001863,https://www.worldscientific.com/doi/abs/10.1142/S0219843609001863
20686671,Int J HR,Unknown,2009,10.1142/S0219843609001784,https://www.worldscientific.com/doi/abs/10.1142/S0219843609001784
35372791,Mol Front J,Unknown,2021,10.1142/S252973252101001X,https://www.worldscientific.com/doi/abs/10.1142/S252973252101001X
32908327,Mod Phys Lett A,Unknown,2017,10.1142/S0217732317300142,https://www.worldscientific.com/doi/abs/10.1142/S0217732317300142
25983362,Int J Image Graph,Unknown,2014,10.1142/S0219467814500168,https://www.worldscientific.com/doi/abs/10.1142/S0219467814500168
33828352,J Knot Theory Ramif,Unknown,2017,10.1142/s0218216517500353,https://www.worldscientific.com/doi/abs/10.1142/S0218216517500353
27346904,J Knot Theory Ramif,Unknown,2016,10.1142/S0218216516500243,https://www.worldscientific.com/doi/abs/10.1142/S0218216516500243
23645950,Int J Nanosci,Unknown,2012,10.1142/S0219581X12500342,https://www.worldscientific.com/doi/abs/10.1142/S0219581X12500342
23105163,Int J Nanosci,Unknown,2011,10.1142/S0219581X11009350,https://www.worldscientific.com/doi/abs/10.1142/S0219581X11009350
22287983,Int J Appl Mech,Unknown,2011,10.1142/S1758825111001044,https://www.worldscientific.com/doi/abs/10.1142/S1758825111001044
34484435,Nano Life,Unknown,2021,10.1142/s179398442130003x,https://www.worldscientific.com/doi/abs/10.1142/S179398442130003X
24073020,Nano Life,Unknown,2012,10.1142/S1793984411000475,https://www.worldscientific.com/doi/abs/10.1142/S1793984411000475
34552303,J Musculoskelet Res,Unknown,2020,10.1142/s0218957719500118,https://www.worldscientific.com/doi/abs/10.1142/S0218957719500118
20016760,J Musculoskelet Res,Unknown,2008,10.1142/S0218957708002012,https://www.worldscientific.com/doi/abs/10.1142/S0218957708002012
20011460,Int J Algebra Comput,Unknown,2008,10.1142/S0218196708004822,https://www.worldscientific.com/doi/abs/10.1142/S0218196708004822
38523806,J Mech Med Biol,Unknown,2023,10.1142/s0219519423400559,https://www.worldscientific.com/doi/10.1142/S0219519423400559
20209075,J Mech Med Biol,Unknown,2009,10.1142/S021951940900295X,https://www.worldscientific.com/doi/abs/10.1142/S021951940900295X
20041035,Adv Adapt Data Anal,Unknown,2009,10.1142/S1793536909000035,https://www.worldscientific.com/doi/abs/10.1142/S1793536909000035
20336179,Int J Inf Technol Decis Mak,Unknown,2009,10.1142/S0219622009003508,https://www.worldscientific.com/doi/abs/10.1142/S0219622009003508
33867617,J Algebra Appl,Unknown,2020,10.1142/s0219498820502047,https://www.worldscientific.com/doi/abs/10.1142/S0219498820502047
34934479,Clim Chang Econ (Singap),Unknown,2021,10.1142/s201000782150010x,https://www.worldscientific.com/doi/10.1142/S201000782150010X
31428296,Clim Chang Econ (Singap),Unknown,2018,10.1142/S2010007818400031,https://www.worldscientific.com/doi/abs/10.1142/S2010007818400031
38577397,Hong Kong Physiother J,Unknown,2024,10.1142/S1013702524500069,https://www.worldscientific.com/doi/10.1142/S1013702524500069
37583919,Hong Kong Physiother J,Unknown,2023,10.1142/S1013702523500051,https://www.worldscientific.com/doi/10.1142/S1013702523500051
30774174,Int J Comput Methods,Unknown,2018,10.1142/S0219876218500287,https://www.worldscientific.com/doi/abs/10.1142/S0219876218500287
30686850,Int J Coop Inf Syst,Unknown,2018,10.1142/S0218843018500053,https://www.worldscientific.com/doi/abs/10.1142/S0218843018500053
