PMID,Journal,publisher_guess,year,doi,doi_url
38880738,Zhonghua Zhong Liu Za Zhi,Unknown,2024,10.3760/cma.j.cn112152-20230714-00013,https://www.yiigle.com/LinkIn.do?linkin_type=DOI&DOI=10.3760/cma.j.cn112152-20230714-00013
38494773,Zhonghua Zhong Liu Za Zhi,Unknown,2024,10.3760/cma.j.cn112152-20231024-00219,https://www.yiigle.com/LinkIn.do?linkin_type=DOI&DOI=10.3760/cma.j.cn112152-20231024-00219
38880759,Zhonghua Xin Xue Guan Bing Za Zhi,Unknown,2024,10.3760/cma.j.cn112148-20231008-0025,https://www.yiigle.com/LinkIn.do?linkin_type=DOI&DOI=10.3760/cma.j.cn112148-20231008-0025
38889992,Zhonghua Liu Xing Bing Xue Za Zhi,Unknown,2024,10.3760/cma.j.cn112338-20240218-00075,https://www.yiigle.com/LinkIn.do?linkin_type=DOI&DOI=10.3760/cma.j.cn112338-20240218-00075
38228539,Zhonghua Liu Xing Bing Xue Za Zhi,Unknown,2024,10.3760/cma.j.cn112338-20230508-00285,https://www.yiigle.com/LinkIn.do?linkin_type=DOI&DOI=10.3760/cma.j.cn112338-20230508-00285
38858211,Zhonghua Jie He He Hu Xi Za Zhi,Unknown,2024,10.3760/cma.j.cn112147-20231024-00264,https://www.yiigle.com/LinkIn.do?linkin_type=DOI&DOI=10.3760/cma.j.cn112147-20231024-00264
38858201,Zhonghua Jie He He Hu Xi Za Zhi,Unknown,2024,10.3760/cma.j.cn112147-20240206-00072,https://www.yiigle.com/LinkIn.do?linkin_type=DOI&DOI=10.3760/cma.j.cn112147-20240206-00072
38825934,Zhonghua Nei Ke Za Zhi,Unknown,2024,10.3760/cma.j.cn112138-20231110-00312,https://www.yiigle.com/LinkIn.do?linkin_type=DOI&DOI=10.3760/cma.j.cn112138-20231110-00312
38825920,Zhonghua Nei Ke Za Zhi,Unknown,2024,10.3760/cma.j.cn112138-20240409-00223,https://www.yiigle.com/LinkIn.do?linkin_type=DOI&DOI=10.3760/cma.j.cn112138-20240409-00223
38818566,Zhonghua Yi Xue Yi Chuan Xue Za Zhi,Unknown,2024,10.3760/cma.j.cn511374-20231120-00262,https://www.yiigle.com/LinkIn.do?linkin_type=DOI&DOI=10.3760/cma.j.cn511374-20231120-00262
38818552,Zhonghua Yi Xue Yi Chuan Xue Za Zhi,Unknown,2024,10.3760/cma.j.cn511374-20231113-00244,https://www.yiigle.com/LinkIn.do?linkin_type=DOI&DOI=10.3760/cma.j.cn511374-20231113-00244
38475687,Zhonghua Yi Shi Za Zhi,Unknown,2024,10.3760/cma.j.cn112155-20230918-00030,https://www.yiigle.com/LinkIn.do?linkin_type=DOI&DOI=10.3760/cma.j.cn112155-20230918-00030
37183619,Zhonghua Yi Shi Za Zhi,Unknown,2023,10.3760/cma.j.cn112155-20221025-00153,https://www.yiigle.com/LinkIn.do?linkin_type=DOI&DOI=10.3760/cma.j.cn112155-20221025-00153
38858198,Zhonghua Gan Zang Bing Za Zhi,Unknown,2024,10.3760/cma.j.cn501113-20240410-00191,https://www.yiigle.com/LinkIn.do?linkin_type=DOI&DOI=10.3760/cma.j.cn501113-20240410-00191
38320789,Zhonghua Gan Zang Bing Za Zhi,Unknown,2024,10.3760/cma.j.cn501113-20231220-00289,https://www.yiigle.com/LinkIn.do?linkin_type=DOI&DOI=10.3760/cma.j.cn501113-20231220-00289
34937157,Zhonghua Shao Shang Za Zhi,Unknown,2021,10.3760/cma.j.cn501120-20200828-00396,https://www.yiigle.com/LinkIn.do?linkin_type=DOI&DOI=10.3760/cma.j.cn501120-20200828-00396
38845507,Zhonghua Wei Zhong Bing Ji Jiu Yi Xue,Unknown,2024,10.3760/cma.j.cn121430-20230911-00775,https://www.yiigle.com/LinkIn.do?linkin_type=DOI&DOI=10.3760/cma.j.cn121430-20230911-00775
38538356,Zhonghua Wei Zhong Bing Ji Jiu Yi Xue,Unknown,2024,10.3760/cma.j.cn121430-20231009-00855,https://www.yiigle.com/LinkIn.do?linkin_type=DOI&DOI=10.3760/cma.j.cn121430-20231009-00855
38902003,Zhonghua Wei Chang Wai Ke Za Zhi,Unknown,2024,10.3760/cma.j.cn441530-20230522-00177,https://www.yiigle.com/LinkIn.do?linkin_type=DOI&DOI=10.3760/cma.j.cn441530-20230522-00177
38413078,Zhonghua Wei Chang Wai Ke Za Zhi,Unknown,2024,10.3760/cma.j.cn441530-20231119-00179,https://www.yiigle.com/LinkIn.do?linkin_type=DOI&DOI=10.3760/cma.j.cn441530-20231119-00179
34304409,Zhonghua Shao Shang Za Zhi,Unknown,2021,10.3760/cma.j.cn501120-20200604-00296,https://www.yiigle.com/LinkIn.do?linkin_type=DOI&DOI=10.3760/cma.j.cn501120-20200604-00296
38802315,Zhonghua Lao Dong Wei Sheng Zhi Ye Bing Za Zhi,Unknown,2024,10.3760/cma.j.cn121094-20230626-00218,https://www.yiigle.com/LinkIn.do?linkin_type=DOI&DOI=10.3760/cma.j.cn121094-20230626-00218
38195222,Zhonghua Lao Dong Wei Sheng Zhi Ye Bing Za Zhi,Unknown,2023,10.3760/cma.j.cn121094-20220615-00317,https://www.yiigle.com/LinkIn.do?linkin_type=DOI&DOI=10.3760/cma.j.cn121094-20220615-00317
38811186,Zhonghua Er Bi Yan Hou Tou Jing Wai Ke Za Zhi,Unknown,2024,10.3760/cma.j.cn115330-20231029-00177,https://www.yiigle.com/LinkIn.do?linkin_type=DOI&DOI=10.3760/cma.j.cn115330-20231029-00177
38369797,Zhonghua Er Bi Yan Hou Tou Jing Wai Ke Za Zhi,Unknown,2024,10.3760/cma.j.cn115330-20231031-00179,https://www.yiigle.com/LinkIn.do?linkin_type=DOI&DOI=10.3760/cma.j.cn115330-20231031-00179
