PMID,is_embargoed,Findit_reason
38911432,True,PAYWALL: pmc article in embargo until 2025-06-01
38911425,True,PAYWALL: pmc article in embargo until 2025-06-01
38911420,True,PAYWALL: pmc article in embargo until 2025-06-01
38911417,True,PAYWALL: pmc article in embargo until 2025-06-01
38911410,True,PAYWALL: pmc article in embargo until 2025-06-01
38911406,True,PAYWALL: pmc article in embargo until 2025-06-01
38911355,True,PAYWALL: pmc article in embargo until 2025-01-01
38910935,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11190652&blobtype=pdf
38900859,False,"NOFORMAT: No URL format for journal ""Psychol Rep"""
38895097,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11184278&blobtype=pdf
38884107,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11179053&blobtype=pdf
38883554,True,PAYWALL: pmc article in embargo until 2025-06-01
38863778,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11165939&blobtype=pdf
38863566,True,PAYWALL: pmc article in embargo until 2025-06-01
38863469,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11163257&blobtype=pdf
38859903,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11164546&blobtype=pdf
38859819,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11164544&blobtype=pdf
38855558,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11153022&blobtype=pdf
38855403,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC7616069&blobtype=pdf
38855171,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11160559&blobtype=pdf
38854663,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11160560&blobtype=pdf
38846061,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11153999&blobtype=pdf
38846025,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11156218&blobtype=pdf
38835516,True,PAYWALL: pmc article in embargo until 2025-01-01
38828383,True,PAYWALL: pmc article in embargo until 2024-10-01
38828230,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11143405&blobtype=pdf
38827923,True,PAYWALL: pmc article in embargo until 2024-07-01
38827276,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11140307&blobtype=pdf
38827275,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11140298&blobtype=pdf
38826488,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11140305&blobtype=pdf
38818252,True,PAYWALL: pmc article in embargo until 2025-01-01
38818106,True,PAYWALL: pmc article in embargo until 2025-07-01
38818102,True,PAYWALL: pmc article in embargo until 2025-07-01
38818100,True,PAYWALL: pmc article in embargo until 2025-07-01
38818094,True,PAYWALL: pmc article in embargo until 2025-07-01
38818007,True,PAYWALL: pmc article in embargo until 2025-05-01
38818000,True,PAYWALL: pmc article in embargo until 2025-05-01
38817999,True,PAYWALL: pmc article in embargo until 2025-05-01
38817989,True,PAYWALL: pmc article in embargo until 2025-05-01
38817952,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11137477&blobtype=pdf
38817824,True,PAYWALL: pmc article in embargo until 2025-06-01
38817156,False,"NOFORMAT: No URL format for journal ""Indian J Pathol Microbiol"""
38817096,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11143761&blobtype=pdf
38813255,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11136476&blobtype=pdf
38807919,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11131564&blobtype=pdf
38807918,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11130584&blobtype=pdf
38807314,False,DENIED: ScienceDirect did not provide pdf link (probably paywalled)
38803560,False,http://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC11127869&blobtype=pdf
38800714,True,PAYWALL: pmc article in embargo until 2025-01-01
38800668,True,PAYWALL: pmc article in embargo until 2025-01-01
38800508,True,PAYWALL: pmc article in embargo until 2025-04-01
38800468,True,PAYWALL: pmc article in embargo until 2025-04-01
38800006,True,PAYWALL: pmc article in embargo until 2025-05-01
38800005,True,PAYWALL: pmc article in embargo until 2025-05-01
38800004,True,PAYWALL: pmc article in embargo until 2025-05-01
38800001,True,PAYWALL: pmc article in embargo until 2025-05-01
38800000,True,PAYWALL: pmc article in embargo until 2025-05-01
38799998,True,PAYWALL: pmc article in embargo until 2025-05-01
38799997,True,PAYWALL: pmc article in embargo until 2025-05-01
38799996,True,PAYWALL: pmc article in embargo until 2025-05-01
