PMID,Journal,doi,doi_url,publisher_guess,year
10157633,Architecture,,,,1996
10157633,Architecture,,,,1996
10105980,Architecture,,,,1990
2637055,Av Periodoncia,,,,1989
2637055,Av Periodoncia,,,,1989
2637055,Av Periodoncia,,,,1989
10130737,HRMAGAZINE,,,,1992
10130737,HRMAGAZINE,,,,1992
10112842,HRMAGAZINE,,,,1991
38914479,Br J Gen Pract,10.3399/BJGP.2023.0532,https://bjgp.org/content/74/744/e449,Unknown,2024
38914479,Br J Gen Pract,10.3399/BJGP.2023.0532,https://bjgp.org/content/74/744/e449,Unknown,2024
38816244,Br J Gen Pract,10.3399/bjgp24X738357,https://dx.doi.org/10.3399/bjgp24X738357,Unknown,2024
22430604,Lasers Surg Med Suppl,10.1002/lsm.22023,https://onlinelibrary.wiley.com/doi/10.1002/lsm.22023,Wiley,2012
22430604,Lasers Surg Med Suppl,10.1002/lsm.22023,https://onlinelibrary.wiley.com/doi/10.1002/lsm.22023,Wiley,2012
18795459,Lasers Surg Med Suppl,,,,2008
38885446,Annu Rev Nutr,10.1146/annurev-nutr-122123-020340,https://www.annualreviews.org/content/journals/10.1146/annurev-nutr-122123-020340,Unknown,2024
38885446,Annu Rev Nutr,10.1146/annurev-nutr-122123-020340,https://www.annualreviews.org/content/journals/10.1146/annurev-nutr-122123-020340,Unknown,2024
35650671,Annu Rev Nutr,10.1146/annurev-nutr-062320-114541,https://www.annualreviews.org/doi/10.1146/annurev-nutr-062320-114541,Unknown,2022
22572182,Arch Histol Cytol,10.1679/aohc.73.149,https://www.jstage.jst.go.jp/article/aohc/73/3/73_3_149/_article,Unknown,2010
22572182,Arch Histol Cytol,10.1679/aohc.73.149,https://www.jstage.jst.go.jp/article/aohc/73/3/73_3_149/_article,Unknown,2010
18431032,Arch Histol Cytol,10.1679/aohc.70.313,https://www.jstage.jst.go.jp/article/aohc/70/5/70_5_313/_article,Unknown,2007
9084494,Bull Cancer Radiother,,,,1996
9084494,Bull Cancer Radiother,,,,1996
8688222,Bull Cancer Radiother,,,,1996
38877794,AIDS Res Hum Retroviruses,10.1089/AID.2023.0126,https://www.liebertpub.com/doi/10.1089/aid.2023.0126,Unknown,2024
38877794,AIDS Res Hum Retroviruses,10.1089/AID.2023.0126,https://www.liebertpub.com/doi/10.1089/aid.2023.0126,Unknown,2024
37335031,AIDS Res Hum Retroviruses,10.1089/AID.2023.0046,https://www.liebertpub.com/doi/10.1089/aid.2023.0046,Unknown,2024
38895785,Rev Esp Enferm Dig,10.17235/reed.2024.10400/2024,https://www.reed.es/Cohorte-Cantabria-A-biomedical-research-tool-open-to-the-world13830,Unknown,2024
38895785,Rev Esp Enferm Dig,10.17235/reed.2024.10400/2024,https://www.reed.es/Cohorte-Cantabria-A-biomedical-research-tool-open-to-the-world13830,Unknown,2024
38835233,Rev Esp Enferm Dig,10.17235/reed.2024.10147/2023,https://www.reed.es/Pancreas-units-within-gastroenterology-departments-Organizational-and-operational-standards-for-a-patient-centered-service13543,Unknown,2024
30549543,Todays FDA,,,,2017
30549543,Todays FDA,,,,2017
27024974,Todays FDA,,,,2016
12219435,Nurs Diagn,10.1111/j.1744-618x.2002.tb00167.x,https://onlinelibrary.wiley.com/doi/10.1111/j.1744-618X.2002.tb00167.x,Wiley,2002
12219435,Nurs Diagn,10.1111/j.1744-618x.2002.tb00167.x,https://onlinelibrary.wiley.com/doi/10.1111/j.1744-618X.2002.tb00167.x,Wiley,2002
9987312,Nurs Diagn,,,,1998
1768489,ASAIO Trans,,,,1991
1768489,ASAIO Trans,,,,1991
1751224,ASAIO Trans,,,,1991
3501300,Ann Sclavo Collana Monogr,,,,1986
3501300,Ann Sclavo Collana Monogr,,,,1986
2892507,Ann Sclavo Collana Monogr,,,,1986
25737048,J Am Acad Nurse Pract,10.1111/j.1745-7599.2012.00812.x,https://onlinelibrary.wiley.com/doi/10.1111/j.1745-7599.2012.00812.x,Wiley,2012
25737048,J Am Acad Nurse Pract,10.1111/j.1745-7599.2012.00812.x,https://onlinelibrary.wiley.com/doi/10.1111/j.1745-7599.2012.00812.x,Wiley,2012
23088695,J Am Acad Nurse Pract,10.1111/j.1745-7599.2012.00749.x,https://onlinelibrary.wiley.com/doi/10.1111/j.1745-7599.2012.00749.x,Wiley,2012
38902950,Asia Pac J Public Health,10.1177/10105395241259243,https://journals.sagepub.com/doi/10.1177/10105395241259243,SAGE Publications,2024
38902950,Asia Pac J Public Health,10.1177/10105395241259243,https://journals.sagepub.com/doi/10.1177/10105395241259243,SAGE Publications,2024
38680044,Asia Pac J Public Health,10.1177/10105395241250123,https://journals.sagepub.com/doi/10.1177/10105395241250123,SAGE Publications,2024
1782097,Rev Actual Odontoestomatol Esp,,,,1991
1782097,Rev Actual Odontoestomatol Esp,,,,1991
2203392,Rev Actual Odontoestomatol Esp,,,,1990
11608870,Health Libr Rev,10.1046/j.1365-2532.1998.1530151.x,https://onlinelibrary.wiley.com/doi/10.1046/j.1365-2532.1998.1530151.x,Wiley,1998
